,neighbourhood_cleansed,
1,Bayview,118
2,Bernal Heights,451
3,Castro/Upper Market,480
4,Chinatown,152
5,Crocker Amazon,28
6,Diamond Heights,22
7,Downtown/Civic Center,564
8,Excelsior,153
9,Financial District,140
10,Glen Park,82
11,Golden Gate Park,8
12,Haight Ashbury,414
13,Inner Richmond,287
14,Inner Sunset,170
15,Lakeshore,52
16,Marina,306
17,Mission,1036
18,Nob Hill,322
19,Noe Valley,390
20,North Beach,180
21,Ocean View,111
22,Outer Mission,164
23,Outer Richmond,195
24,Outer Sunset,254
25,Pacific Heights,243
26,Parkside,121
27,Potrero Hill,286
28,Presidio,6
29,Presidio Heights,39
30,Russian Hill,224
31,Seacliff,24
32,South of Market,618
33,Treasure Island/YBI,25
34,Twin Peaks,101
35,Visitacion Valley,38
36,West of Twin Peaks,123
37,Western Addition,779
38,average,235.2972973
39,standard_deviation,213.3989985
