"","neighbourhood_cleansed","avg_latitude","avg_longitutde"
"1","Bayview",37.7289790917713,-122.390372158765
"2","Bernal Heights",37.7418426067524,-122.416219949678
"3","Castro/Upper Market",37.7625337210304,-122.434515607404
"4","Chinatown",37.7918974416209,-122.406731342955
"5","Crocker Amazon",37.7104073168527,-122.439328365208
"6","Diamond Heights",37.7430450699942,-122.441251029801
"7","Downtown/Civic Center",37.7856014357243,-122.413952243969
"8","Excelsior",37.7254153490687,-122.423757992455
"9","Financial District",37.7901646715832,-122.400086808872
"10","Glen Park",37.7377517724053,-122.4314431865
"11","Golden Gate Park",37.7687303125376,-122.479500125421
"12","Haight Ashbury",37.7700575536411,-122.445999793504
"13","Inner Richmond",37.7791348602198,-122.46386416261
"14","Inner Sunset",37.7604462689058,-122.46571425848
"15","Lakeshore",37.7202812447874,-122.481866518562
"16","Marina",37.8008249470444,-122.434862737068
"17","Mission",37.7583754950455,-122.417160628893
"18","Nob Hill",37.7929825473027,-122.415789557922
"19","Noe Valley",37.7497812225316,-122.43206770262
"20","North Beach",37.8019599236816,-122.408284606897
"21","Ocean View",37.7176318939511,-122.461027617239
"22","Outer Mission",37.7275710574884,-122.441464236192
"23","Outer Richmond",37.7773389105739,-122.492188533516
"24","Outer Sunset",37.7564360428587,-122.495113543691
"25","Pacific Heights",37.7923426970142,-122.433678859584
"26","Parkside",37.7420602070465,-122.487042639974
"27","Potrero Hill",37.7590451953665,-122.397670931664
"28","Presidio",37.7996835802467,-122.458466489262
"29","Presidio Heights",37.7847779912185,-122.454034776329
"30","Russian Hill",37.8011384012276,-122.418500502866
"31","Seacliff",37.7830468850154,-122.497248892267
"32","South of Market",37.7783299914222,-122.403282216924
"33","Treasure Island/YBI",37.8236673047513,-122.373991674384
"34","Twin Peaks",37.7536362593841,-122.447150711088
"35","Visitacion Valley",37.7160714050047,-122.407081678425
"36","West of Twin Peaks",37.7355058271662,-122.458993436531
"37","Western Addition",37.7782783076202,-122.433715343997
