"","number_of_reviews","avg_price"
"1",0,409.796012269939
"2",1,223.061957868649
"3",2,239.456204379562
"4",3,216.717121588089
"5",4,216.81072555205
"6",5,217.141176470588
"7",6,198.865800865801
"8",7,237.526829268293
"9",8,207.171974522293
"10",9,202.61038961039
"11",10,207.162337662338
"12",11,235.09219858156
"13",12,197.681415929204
"14",13,234.020618556701
"15",14,213.378640776699
"16",15,192.058823529412
"17",16,207.220930232558
"18",17,218.939024390244
"19",18,206.811764705882
"20",19,187.197368421053
"21",20,193.072463768116
"22",21,315.111111111111
"23",22,204.80303030303
"24",23,202.816901408451
"25",24,225.864406779661
"26",25,203.102040816327
"27",26,208.36
"28",27,195.157894736842
"29",28,222.340909090909
"30",29,170.428571428571
"31",30,161.913043478261
"32",31,179.04
"33",32,214.777777777778
"34",33,233.302325581395
"35",34,184.739130434783
"36",35,182.675675675676
"37",36,165.903225806452
"38",37,189.03125
"39",38,162
"40",39,199.344827586207
"41",40,320.054054054054
"42",41,266.973684210526
"43",42,189.921052631579
"44",43,167
"45",44,181.592592592593
"46",45,178.037037037037
"47",46,186.642857142857
"48",47,182.681818181818
"49",48,178.8
"50",49,182.321428571429
"51",50,141.45
"52",51,159.5
"53",52,151.157894736842
"54",53,135.52
"55",54,139.791666666667
"56",55,173.117647058824
"57",56,149.434782608696
"58",57,178.45
"59",58,186
"60",59,198.875
"61",60,138.04347826087
"62",61,211.2
"63",62,130.333333333333
"64",63,144.176470588235
"65",64,227.416666666667
"66",65,141.888888888889
"67",66,121.25
"68",67,202.928571428571
"69",68,232.733333333333
"70",69,141.736842105263
"71",70,132.454545454545
"72",71,235.611111111111
"73",72,145.347826086957
"74",73,192.266666666667
"75",74,176.625
"76",75,139.5
"77",76,181.875
"78",77,215.391304347826
"79",78,199.230769230769
"80",79,178.285714285714
"81",80,175.571428571429
"82",81,163.769230769231
"83",82,108.333333333333
"84",83,191.363636363636
"85",84,231.333333333333
"86",85,233.846153846154
"87",86,134.769230769231
"88",87,138.111111111111
"89",88,122.166666666667
"90",89,164.066666666667
"91",90,121.833333333333
"92",91,159.769230769231
"93",92,168.916666666667
"94",93,181.222222222222
"95",94,153.75
"96",95,212.571428571429
"97",96,277.166666666667
"98",97,152.7
"99",98,151.75
"100",99,157.583333333333
"101",100,143.5
"102",101,125.769230769231
"103",102,175.25
"104",103,124.333333333333
"105",104,119
"106",105,233
"107",106,142
"108",107,222.833333333333
"109",108,122.333333333333
"110",109,114
"111",110,205.375
"112",111,145.727272727273
"113",112,163
"114",113,97.25
"115",114,171.4
"116",115,124.1875
"117",116,105.666666666667
"118",117,145.75
"119",118,316.333333333333
"120",119,154.333333333333
"121",120,172
"122",121,137.25
"123",122,160.571428571429
"124",123,159.571428571429
"125",124,212.6
"126",125,156
"127",126,250
"128",127,130.625
"129",128,148
"130",129,141.857142857143
"131",130,151.272727272727
"132",131,146.888888888889
"133",132,175.666666666667
"134",133,152
"135",134,168
"136",135,111.428571428571
"137",136,189.25
"138",137,153.666666666667
"139",138,108
"140",139,350
"141",140,149.6
"142",141,68
"143",142,145
"144",143,173.666666666667
"145",144,221.333333333333
"146",145,163.833333333333
"147",146,135.833333333333
"148",147,132.25
"149",148,188
"150",149,190
"151",150,176.5
"152",151,127
"153",152,184.714285714286
"154",153,216
"155",154,160
"156",155,143
"157",156,117
"158",157,166.5
"159",158,143.428571428571
"160",159,153.666666666667
"161",160,209
"162",161,165
"163",162,182.5
"164",163,123.5
"165",164,111.333333333333
"166",165,125
"167",166,130
"168",167,177
"169",168,203
"170",169,121
"171",170,155.666666666667
"172",171,82.5
"173",173,121.857142857143
"174",174,114.666666666667
"175",175,290
"176",176,152.5
"177",177,125
"178",178,81.6
"179",179,132.333333333333
"180",180,175
"181",181,224
"182",182,100
"183",184,99
"184",185,88.25
"185",186,99
"186",187,135.5
"187",188,119
"188",189,182
"189",190,107.5
"190",191,151.666666666667
"191",192,121.666666666667
"192",193,155.5
"193",194,105
"194",195,365
"195",196,122
"196",197,127.666666666667
"197",198,179
"198",199,186.5
"199",203,145
"200",204,175
"201",205,125
"202",208,125
"203",209,84
"204",211,154.333333333333
"205",212,135
"206",213,45
"207",214,69
"208",215,59
"209",216,117.25
"210",218,175
"211",219,135
"212",220,105
"213",221,140
"214",223,109.5
"215",224,200
"216",225,127
"217",227,75
"218",228,103.5
"219",230,70
"220",231,130
"221",233,99
"222",234,109.5
"223",235,95
"224",236,190
"225",240,146.5
"226",241,125
"227",242,132.5
"228",243,115
"229",245,137.666666666667
"230",246,88.5
"231",247,130
"232",248,250
"233",249,135
"234",250,89.5
"235",251,84
"236",252,87.5
"237",253,85
"238",254,129
"239",258,101.333333333333
"240",259,152
"241",260,159.5
"242",262,100.333333333333
"243",265,170
"244",266,80
"245",267,169
"246",273,88
"247",278,77
"248",280,103
"249",286,120
"250",287,160
"251",289,137.5
"252",290,125
"253",291,112
"254",292,153
"255",293,111.5
"256",295,70
"257",308,200
"258",321,144
"259",322,79
"260",333,150
"261",336,199
"262",339,99
"263",342,135
"264",362,59
"265",376,95
"266",383,110
"267",394,100
"268",397,90
"269",403,129
"270",423,69
"271",438,200
"272",459,149
"273",488,200
