neighbourhood_cleansed,avg_latitude,avg_longitutde
Bayview,37.72897909,-122.3903722
Bernal Heights,37.74184261,-122.4162199
Castro/Upper Market,37.76253372,-122.4345156
Chinatown,37.79189744,-122.4067313
Crocker Amazon,37.71040732,-122.4393284
Diamond Heights,37.74304507,-122.441251
Downtown/Civic Center,37.78560144,-122.4139522
Excelsior,37.72541535,-122.423758
Financial District,37.79016467,-122.4000868
Glen Park,37.73775177,-122.4314432
Golden Gate Park,37.76873031,-122.4795001
Haight Ashbury,37.77005755,-122.4459998
Inner Richmond,37.77913486,-122.4638642
Inner Sunset,37.76044627,-122.4657143
Lakeshore,37.72028124,-122.4818665
Marina,37.80082495,-122.4348627
Mission,37.7583755,-122.4171606
Nob Hill,37.79298255,-122.4157896
Noe Valley,37.74978122,-122.4320677
North Beach,37.80195992,-122.4082846
Ocean View,37.71763189,-122.4610276
Outer Mission,37.72757106,-122.4414642
Outer Richmond,37.77733891,-122.4921885
Outer Sunset,37.75643604,-122.4951135
Pacific Heights,37.7923427,-122.4336789
Parkside,37.74206021,-122.4870426
Potrero Hill,37.7590452,-122.3976709
Presidio,37.79968358,-122.4584665
Presidio Heights,37.78477799,-122.4540348
Russian Hill,37.8011384,-122.4185005
Seacliff,37.78304689,-122.4972489
South of Market,37.77832999,-122.4032822
Treasure Island/YBI,37.8236673,-122.3739917
Twin Peaks,37.75363626,-122.4471507
Visitacion Valley,37.71607141,-122.4070817
West of Twin Peaks,37.73550583,-122.4589934
Western Addition,37.77827831,-122.4337153
