number_of_reviews,avg_price
0,$409.80
1,$223.06
2,$239.46
3,$216.72
4,$216.81
5,$217.14
6,$198.87
7,$237.53
8,$207.17
9,$202.61
10,$207.16
11,$235.09
12,$197.68
13,$234.02
14,$213.38
15,$192.06
16,$207.22
17,$218.94
18,$206.81
19,$187.20
20,$193.07
21,$315.11
22,$204.80
23,$202.82
24,$225.86
25,$203.10
26,$208.36
27,$195.16
28,$222.34
29,$170.43
30,$161.91
31,$179.04
32,$214.78
33,$233.30
34,$184.74
35,$182.68
36,$165.90
37,$189.03
38,$162.00
39,$199.34
40,$320.05
41,$266.97
42,$189.92
43,$167.00
44,$181.59
45,$178.04
46,$186.64
47,$182.68
48,$178.80
49,$182.32
50,$141.45
51,$159.50
52,$151.16
53,$135.52
54,$139.79
55,$173.12
56,$149.43
57,$178.45
58,$186.00
59,$198.88
60,$138.04
61,$211.20
62,$130.33
63,$144.18
64,$227.42
65,$141.89
66,$121.25
67,$202.93
68,$232.73
69,$141.74
70,$132.45
71,$235.61
72,$145.35
73,$192.27
74,$176.63
75,$139.50
76,$181.88
77,$215.39
78,$199.23
79,$178.29
80,$175.57
81,$163.77
82,$108.33
83,$191.36
84,$231.33
85,$233.85
86,$134.77
87,$138.11
88,$122.17
89,$164.07
90,$121.83
91,$159.77
92,$168.92
93,$181.22
94,$153.75
95,$212.57
96,$277.17
97,$152.70
98,$151.75
99,$157.58
100,$143.50
101,$125.77
102,$175.25
103,$124.33
104,$119.00
105,$233.00
106,$142.00
107,$222.83
108,$122.33
109,$114.00
110,$205.38
111,$145.73
112,$163.00
113,$97.25
114,$171.40
115,$124.19
116,$105.67
117,$145.75
118,$316.33
119,$154.33
120,$172.00
121,$137.25
122,$160.57
123,$159.57
124,$212.60
125,$156.00
126,$250.00
127,$130.63
128,$148.00
129,$141.86
130,$151.27
131,$146.89
132,$175.67
133,$152.00
134,$168.00
135,$111.43
136,$189.25
137,$153.67
138,$108.00
139,$350.00
140,$149.60
141,$68.00
142,$145.00
143,$173.67
144,$221.33
145,$163.83
146,$135.83
147,$132.25
148,$188.00
149,$190.00
150,$176.50
151,$127.00
152,$184.71
153,$216.00
154,$160.00
155,$143.00
156,$117.00
157,$166.50
158,$143.43
159,$153.67
160,$209.00
161,$165.00
162,$182.50
163,$123.50
164,$111.33
165,$125.00
166,$130.00
167,$177.00
168,$203.00
169,$121.00
170,$155.67
171,$82.50
173,$121.86
174,$114.67
175,$290.00
176,$152.50
177,$125.00
178,$81.60
179,$132.33
180,$175.00
181,$224.00
182,$100.00
184,$99.00
185,$88.25
186,$99.00
187,$135.50
188,$119.00
189,$182.00
190,$107.50
191,$151.67
192,$121.67
193,$155.50
194,$105.00
195,$365.00
196,$122.00
197,$127.67
198,$179.00
199,$186.50
203,$145.00
204,$175.00
205,$125.00
208,$125.00
209,$84.00
211,$154.33
212,$135.00
213,$45.00
214,$69.00
215,$59.00
216,$117.25
218,$175.00
219,$135.00
220,$105.00
221,$140.00
223,$109.50
224,$200.00
225,$127.00
227,$75.00
228,$103.50
230,$70.00
231,$130.00
233,$99.00
234,$109.50
235,$95.00
236,$190.00
240,$146.50
241,$125.00
242,$132.50
243,$115.00
245,$137.67
246,$88.50
247,$130.00
248,$250.00
249,$135.00
250,$89.50
251,$84.00
252,$87.50
253,$85.00
254,$129.00
258,$101.33
259,$152.00
260,$159.50
262,$100.33
265,$170.00
266,$80.00
267,$169.00
273,$88.00
278,$77.00
280,$103.00
286,$120.00
287,$160.00
289,$137.50
290,$125.00
291,$112.00
292,$153.00
293,$111.50
295,$70.00
308,$200.00
321,$144.00
322,$79.00
333,$150.00
336,$199.00
339,$99.00
342,$135.00
362,$59.00
376,$95.00
383,$110.00
394,$100.00
397,$90.00
403,$129.00
423,$69.00
438,$200.00
459,$149.00
488,$200.00
